id,date,layer,new_cases,total_cases,active_cases_7,active_cases_14,new_cases_mean_7,new_cases_mean_14,max_new_cases,max_new_cases_date,population,active_cases_14_by_100k,active_cases_7_by_100k,new_cases_by_100k,total_cases_by_100k
10,2021-08-12,cnig_ccaa,0,484838,3915,14246,559.2857142857143,1017.5714285714286,8635,2021-01-15,,,,,
06,2021-08-12,cnig_ccaa,0,42137,838,2200,119.71428571428571,157.14285714285714,342,2021-07-19,,,,,
09,2021-08-12,cnig_ccaa,0,866654,8190,26422,1170.0,1887.2857142857142,10126,2021-07-12,,,,,
02,2021-08-12,cnig_ccaa,0,152850,1529,4935,218.42857142857142,352.5,1137,2020-10-26,,,,,
12,2021-08-12,cnig_ccaa,0,171730,3086,10081,440.85714285714283,720.0714285714286,1863,2021-01-18,,,,,
19,2021-08-12,cnig_ccaa,0,10095,92,357,13.142857142857142,25.5,145,2021-08-02,,,,,
15,2021-08-12,cnig_ccaa,0,79082,912,2729,130.28571428571428,194.92857142857142,742,2020-10-19,,,,,
07,2021-08-12,cnig_ccaa,0,286529,2729,7970,389.85714285714283,569.2857142857143,2956,2021-01-18,,,,,
11,2021-08-12,cnig_ccaa,0,93461,1606,4354,229.42857142857142,311.0,1302,2021-01-12,,,,,
18,2021-08-12,cnig_ccaa,7,6670,171,326,24.428571428571427,23.285714285714285,75,2020-10-28,,,,,
14,2021-08-12,cnig_ccaa,0,132176,1584,4744,226.28571428571428,338.85714285714283,2115,2021-01-12,,,,,
01,2021-08-12,cnig_ccaa,0,752703,11029,34521,1575.5714285714287,2465.785714285714,8475,2021-01-20,,,,,
04,2021-08-12,cnig_ccaa,0,90343,1593,6145,227.57142857142858,438.92857142857144,1100,2021-07-20,,,,,
05,2021-08-12,cnig_ccaa,3,87046,1804,5984,257.7142857142857,427.42857142857144,956,2021-07-27,,,,,
13,2021-08-12,cnig_ccaa,0,850709,9437,27613,1348.142857142857,1972.357142857143,7008,2021-01-19,,,,,
16,2021-08-12,cnig_ccaa,0,243278,2434,8307,347.7142857142857,593.3571428571429,1653,2021-07-19,,,,,
08,2021-08-12,cnig_ccaa,0,220652,1712,6716,244.57142857142858,479.7142857142857,2632,2021-01-15,,,,,
17,2021-08-12,cnig_ccaa,0,37541,351,1233,50.142857142857146,88.07142857142857,350,2021-01-21,,,,,
03,2021-08-12,cnig_ccaa,0,68652,339,1699,48.42857142857143,121.35714285714286,801,2020-11-10,,,,,
10,2021-08-11,cnig_ccaa,99,484838,5046,16177,720.8571428571429,1155.5,8635,2021-01-15,,,,,
06,2021-08-11,cnig_ccaa,172,42137,1016,2415,145.14285714285714,172.5,342,2021-07-19,,,,,
09,2021-08-11,cnig_ccaa,1083,866654,10433,29703,1490.4285714285713,2121.6428571428573,10126,2021-07-12,,,,,
02,2021-08-11,cnig_ccaa,241,152850,2012,5580,287.42857142857144,398.57142857142856,1137,2020-10-26,,,,,
12,2021-08-11,cnig_ccaa,74,171730,4007,11098,572.4285714285714,792.7142857142857,1863,2021-01-18,,,,,
19,2021-08-11,cnig_ccaa,4,10095,116,406,16.571428571428573,29.0,145,2021-08-02,,,,,
15,2021-08-11,cnig_ccaa,86,79082,1110,3084,158.57142857142858,220.28571428571428,742,2020-10-19,,,,,
07,2021-08-11,cnig_ccaa,120,286529,3362,8900,480.2857142857143,635.7142857142857,2956,2021-01-18,,,,,
11,2021-08-11,cnig_ccaa,27,93461,1985,4697,283.57142857142856,335.5,1302,2021-01-12,,,,,
18,2021-08-11,cnig_ccaa,36,6663,189,331,27.0,23.642857142857142,75,2020-10-28,,,,,
14,2021-08-11,cnig_ccaa,52,132176,2009,5226,287.0,373.2857142857143,2115,2021-01-12,,,,,
01,2021-08-11,cnig_ccaa,374,752703,14119,38966,2017.0,2783.285714285714,8475,2021-01-20,,,,,
04,2021-08-11,cnig_ccaa,68,90343,2110,6723,301.42857142857144,480.2142857142857,1100,2021-07-20,,,,,
05,2021-08-11,cnig_ccaa,109,87043,2222,6705,317.42857142857144,478.92857142857144,956,2021-07-27,,,,,
13,2021-08-11,cnig_ccaa,1555,850709,11618,30968,1659.7142857142858,2212.0,7008,2021-01-19,,,,,
16,2021-08-11,cnig_ccaa,10,243278,2993,9050,427.57142857142856,646.4285714285714,1653,2021-07-19,,,,,
08,2021-08-11,cnig_ccaa,35,220652,2360,7652,337.14285714285717,546.5714285714286,2632,2021-01-15,,,,,
17,2021-08-11,cnig_ccaa,10,37541,440,1382,62.857142857142854,98.71428571428571,350,2021-01-21,,,,,
03,2021-08-11,cnig_ccaa,0,68652,452,1871,64.57142857142857,133.64285714285714,801,2020-11-10,,,,,
10,2021-08-10,cnig_ccaa,589,484739,6251,18222,893.0,1301.5714285714287,8635,2021-01-15,,,,,
06,2021-08-10,cnig_ccaa,76,41965,1044,2485,149.14285714285714,177.5,342,2021-07-19,,,,,
09,2021-08-10,cnig_ccaa,1242,865571,11550,32571,1650.0,2326.5,10126,2021-07-12,,,,,
02,2021-08-10,cnig_ccaa,189,152609,2267,6021,323.85714285714283,430.07142857142856,1137,2020-10-26,,,,,
12,2021-08-10,cnig_ccaa,301,171656,4868,12170,695.4285714285714,869.2857142857143,1863,2021-01-18,,,,,
19,2021-08-10,cnig_ccaa,20,10091,134,421,19.142857142857142,30.071428571428573,145,2021-08-02,,,,,
15,2021-08-10,cnig_ccaa,117,78996,1253,3406,179.0,243.28571428571428,742,2020-10-19,,,,,
07,2021-08-10,cnig_ccaa,294,286409,3901,9903,557.2857142857143,707.3571428571429,2956,2021-01-18,,,,,
11,2021-08-10,cnig_ccaa,150,93434,2335,5094,333.57142857142856,363.85714285714283,1302,2021-01-12,,,,,
18,2021-08-10,cnig_ccaa,31,6627,187,320,26.714285714285715,22.857142857142858,75,2020-10-28,,,,,
14,2021-08-10,cnig_ccaa,191,132124,2363,5757,337.57142857142856,411.2142857142857,2115,2021-01-12,,,,,
01,2021-08-10,cnig_ccaa,2754,752329,17133,42961,2447.5714285714284,3068.6428571428573,8475,2021-01-20,,,,,
04,2021-08-10,cnig_ccaa,173,90275,2703,7322,386.14285714285717,523.0,1100,2021-07-20,,,,,
05,2021-08-10,cnig_ccaa,199,86934,2681,7378,383.0,527.0,956,2021-07-27,,,,,
13,2021-08-10,cnig_ccaa,1929,849154,12441,33011,1777.2857142857142,2357.9285714285716,7008,2021-01-19,,,,,
16,2021-08-10,cnig_ccaa,17,243268,3735,9923,533.5714285714286,708.7857142857143,1653,2021-07-19,,,,,
08,2021-08-10,cnig_ccaa,202,220617,3042,8564,434.57142857142856,611.7142857142857,2632,2021-01-15,,,,,
17,2021-08-10,cnig_ccaa,30,37531,552,1577,78.85714285714286,112.64285714285714,350,2021-01-21,,,,,
03,2021-08-10,cnig_ccaa,4,68652,620,2112,88.57142857142857,150.85714285714286,801,2020-11-10,,,,,
10,2021-08-09,cnig_ccaa,715,484150,7272,20143,1038.857142857143,1438.7857142857142,8635,2021-01-15,,,,,
06,2021-08-09,cnig_ccaa,137,41889,1187,2679,169.57142857142858,191.35714285714286,342,2021-07-19,,,,,
09,2021-08-09,cnig_ccaa,1609,864329,12926,36211,1846.5714285714287,2586.5,10126,2021-07-12,,,,,
02,2021-08-09,cnig_ccaa,220,152420,2575,6619,367.85714285714283,472.7857142857143,1137,2020-10-26,,,,,
12,2021-08-09,cnig_ccaa,439,171355,5560,13184,794.2857142857143,941.7142857142857,1863,2021-01-18,,,,,
19,2021-08-09,cnig_ccaa,19,10071,140,427,20.0,30.5,145,2021-08-02,,,,,
15,2021-08-09,cnig_ccaa,149,78879,1400,3687,200.0,263.35714285714283,742,2020-10-19,,,,,
07,2021-08-09,cnig_ccaa,403,286115,4256,10805,608.0,771.7857142857143,2956,2021-01-18,,,,,
11,2021-08-09,cnig_ccaa,207,93284,2607,5501,372.42857142857144,392.92857142857144,1302,2021-01-12,,,,,
18,2021-08-09,cnig_ccaa,23,6596,179,308,25.571428571428573,22.0,75,2020-10-28,,,,,
14,2021-08-09,cnig_ccaa,229,131933,2664,6134,380.57142857142856,438.14285714285717,2115,2021-01-12,,,,,
01,2021-08-09,cnig_ccaa,2228,749575,18408,44902,2629.714285714286,3207.285714285714,8475,2021-01-20,,,,,
04,2021-08-09,cnig_ccaa,224,90102,3388,8019,484.0,572.7857142857143,1100,2021-07-20,,,,,
05,2021-08-09,cnig_ccaa,243,86735,3152,8135,450.2857142857143,581.0714285714286,956,2021-07-27,,,,,
13,2021-08-09,cnig_ccaa,1649,847225,13311,35745,1901.5714285714287,2553.214285714286,7008,2021-01-19,,,,,
16,2021-08-09,cnig_ccaa,77,243251,4532,11070,647.4285714285714,790.7142857142857,1653,2021-07-19,,,,,
08,2021-08-09,cnig_ccaa,313,220415,3643,9427,520.4285714285714,673.3571428571429,2632,2021-01-15,,,,,
17,2021-08-09,cnig_ccaa,47,37501,691,1758,98.71428571428571,125.57142857142857,350,2021-01-21,,,,,
03,2021-08-09,cnig_ccaa,11,68648,904,2405,129.14285714285714,171.78571428571428,801,2020-11-10,,,,,
10,2021-08-08,cnig_ccaa,469,483435,8340,22053,1191.4285714285713,1575.2142857142858,8635,2021-01-15,,,,,
06,2021-08-08,cnig_ccaa,140,41752,1256,2761,179.42857142857142,197.21428571428572,342,2021-07-19,,,,,
09,2021-08-08,cnig_ccaa,1080,862720,14744,40016,2106.285714285714,2858.285714285714,10126,2021-07-12,,,,,
02,2021-08-08,cnig_ccaa,223,152200,2800,7064,400.0,504.57142857142856,1137,2020-10-26,,,,,
12,2021-08-08,cnig_ccaa,739,170916,6113,14077,873.2857142857143,1005.5,1863,2021-01-18,,,,,
19,2021-08-08,cnig_ccaa,10,10052,266,421,38.0,30.071428571428573,145,2021-08-02,,,,,
15,2021-08-08,cnig_ccaa,189,78730,1521,3882,217.28571428571428,277.2857142857143,742,2020-10-19,,,,,
07,2021-08-08,cnig_ccaa,608,285712,4714,11675,673.4285714285714,833.9285714285714,2956,2021-01-18,,,,,
11,2021-08-08,cnig_ccaa,501,93077,2852,5865,407.42857142857144,418.92857142857144,1302,2021-01-12,,,,,
18,2021-08-08,cnig_ccaa,28,6573,178,295,25.428571428571427,21.071428571428573,75,2020-10-28,,,,,
14,2021-08-08,cnig_ccaa,396,131704,2910,6475,415.7142857142857,462.5,2115,2021-01-12,,,,,
01,2021-08-08,cnig_ccaa,1000,747347,19531,46489,2790.1428571428573,3320.6428571428573,8475,2021-01-20,,,,,
04,2021-08-08,cnig_ccaa,273,89878,4196,8699,599.4285714285714,621.3571428571429,1100,2021-07-20,,,,,
05,2021-08-08,cnig_ccaa,387,86492,3548,8712,506.85714285714283,622.2857142857143,956,2021-07-27,,,,,
13,2021-08-08,cnig_ccaa,643,845576,14500,38271,2071.4285714285716,2733.6428571428573,7008,2021-01-19,,,,,
16,2021-08-08,cnig_ccaa,860,243174,5407,12267,772.4285714285714,876.2142857142857,1653,2021-07-19,,,,,
08,2021-08-08,cnig_ccaa,209,220102,4104,10095,586.2857142857143,721.0714285714286,2632,2021-01-15,,,,,
17,2021-08-08,cnig_ccaa,85,37454,789,1902,112.71428571428571,135.85714285714286,350,2021-01-21,,,,,
03,2021-08-08,cnig_ccaa,11,68637,1073,2762,153.28571428571428,197.28571428571428,801,2020-11-10,,,,,
10,2021-08-07,cnig_ccaa,796,482966,9048,23135,1292.5714285714287,1652.5,8635,2021-01-15,,,,,
06,2021-08-07,cnig_ccaa,141,41612,1300,2841,185.71428571428572,202.92857142857142,342,2021-07-19,,,,,
09,2021-08-07,cnig_ccaa,1314,861640,15747,41859,2249.5714285714284,2989.9285714285716,10126,2021-07-12,,,,,
02,2021-08-07,cnig_ccaa,284,151977,2986,7377,426.57142857142856,526.9285714285714,1137,2020-10-26,,,,,
12,2021-08-07,cnig_ccaa,731,170177,6306,14418,900.8571428571429,1029.857142857143,1863,2021-01-18,,,,,
19,2021-08-07,cnig_ccaa,19,10042,274,418,39.142857142857146,29.857142857142858,145,2021-08-02,,,,,
15,2021-08-07,cnig_ccaa,179,78541,1613,4031,230.42857142857142,287.92857142857144,742,2020-10-19,,,,,
07,2021-08-07,cnig_ccaa,557,285104,4790,11857,684.2857142857143,846.9285714285714,2956,2021-01-18,,,,,
11,2021-08-07,cnig_ccaa,298,92576,2700,5800,385.7142857142857,414.2857142857143,1302,2021-01-12,,,,,
18,2021-08-07,cnig_ccaa,18,6545,168,281,24.0,20.071428571428573,75,2020-10-28,,,,,
14,2021-08-07,cnig_ccaa,346,131308,2937,6571,419.57142857142856,469.35714285714283,2115,2021-01-12,,,,,
01,2021-08-07,cnig_ccaa,1981,746347,20761,47824,2965.8571428571427,3416.0,8475,2021-01-20,,,,,
04,2021-08-07,cnig_ccaa,330,89605,4752,9157,678.8571428571429,654.0714285714286,1100,2021-07-20,,,,,
05,2021-08-07,cnig_ccaa,397,86105,3813,9030,544.7142857142857,645.0,956,2021-07-27,,,,,
13,2021-08-07,cnig_ccaa,990,844933,15626,40028,2232.285714285714,2859.1428571428573,7008,2021-01-19,,,,,
16,2021-08-07,cnig_ccaa,854,242314,5538,12690,791.1428571428571,906.4285714285714,1653,2021-07-19,,,,,
08,2021-08-07,cnig_ccaa,342,219893,4415,10539,630.7142857142857,752.7857142857143,2632,2021-01-15,,,,,
17,2021-08-07,cnig_ccaa,98,37369,831,1979,118.71428571428571,141.35714285714286,350,2021-01-21,,,,,
03,2021-08-07,cnig_ccaa,172,68626,1285,3107,183.57142857142858,221.92857142857142,801,2020-11-10,,,,,
10,2021-08-06,cnig_ccaa,1247,482170,9666,24260,1380.857142857143,1732.857142857143,8635,2021-01-15,,,,,
06,2021-08-06,cnig_ccaa,172,41471,1341,2978,191.57142857142858,212.71428571428572,342,2021-07-19,,,,,
09,2021-08-06,cnig_ccaa,1862,860326,16583,44013,2369.0,3143.785714285714,10126,2021-07-12,,,,,
02,2021-08-06,cnig_ccaa,372,151693,3180,7741,454.2857142857143,552.9285714285714,1137,2020-10-26,,,,,
12,2021-08-06,cnig_ccaa,802,169446,6604,14908,943.4285714285714,1064.857142857143,1863,2021-01-18,,,,,
19,2021-08-06,cnig_ccaa,20,10023,266,415,38.0,29.642857142857142,145,2021-08-02,,,,,
15,2021-08-06,cnig_ccaa,192,78362,1711,4234,244.42857142857142,302.42857142857144,742,2020-10-19,,,,,
07,2021-08-06,cnig_ccaa,747,284547,5035,12312,719.2857142857143,879.4285714285714,2956,2021-01-18,,,,,
11,2021-08-06,cnig_ccaa,423,92278,2763,5954,394.7142857142857,425.2857142857143,1302,2021-01-12,,,,,
18,2021-08-06,cnig_ccaa,28,6527,163,282,23.285714285714285,20.142857142857142,75,2020-10-28,,,,,
14,2021-08-06,cnig_ccaa,370,130962,3049,6703,435.57142857142856,478.7857142857143,2115,2021-01-12,,,,,
01,2021-08-06,cnig_ccaa,2692,744366,22101,49118,3157.285714285714,3508.4285714285716,8475,2021-01-20,,,,,
04,2021-08-06,cnig_ccaa,525,89275,4664,9706,666.2857142857143,693.2857142857143,1100,2021-07-20,,,,,
05,2021-08-06,cnig_ccaa,466,85708,3977,9403,568.1428571428571,671.6428571428571,956,2021-07-27,,,,,
13,2021-08-06,cnig_ccaa,2671,843943,16788,41694,2398.285714285714,2978.1428571428573,7008,2021-01-19,,,,,
16,2021-08-06,cnig_ccaa,616,241460,5675,13145,810.7142857142857,938.9285714285714,1653,2021-07-19,,,,,
08,2021-08-06,cnig_ccaa,611,219551,4784,10948,683.4285714285714,782.0,2632,2021-01-15,,,,,
17,2021-08-06,cnig_ccaa,81,37271,837,2044,119.57142857142857,146.0,350,2021-01-21,,,,,
03,2021-08-06,cnig_ccaa,141,68454,1307,3257,186.71428571428572,232.64285714285714,801,2020-11-10,,,,,
10,2021-08-05,cnig_ccaa,1131,480923,10331,25524,1475.857142857143,1823.142857142857,8635,2021-01-15,,,,,
06,2021-08-05,cnig_ccaa,178,41299,1362,3058,194.57142857142858,218.42857142857142,342,2021-07-19,,,,,
09,2021-08-05,cnig_ccaa,2243,858464,18232,47509,2604.5714285714284,3393.5,10126,2021-07-12,,,,,
02,2021-08-05,cnig_ccaa,483,151321,3406,8084,486.57142857142856,577.4285714285714,1137,2020-10-26,,,,,
12,2021-08-05,cnig_ccaa,921,168644,6995,15486,999.2857142857143,1106.142857142857,1863,2021-01-18,,,,,
19,2021-08-05,cnig_ccaa,24,10003,265,411,37.857142857142854,29.357142857142858,145,2021-08-02,,,,,
15,2021-08-05,cnig_ccaa,198,78170,1817,4407,259.57142857142856,314.7857142857143,742,2020-10-19,,,,,
07,2021-08-05,cnig_ccaa,633,283800,5241,12740,748.7142857142857,910.0,2956,2021-01-18,,,,,
11,2021-08-05,cnig_ccaa,379,91855,2748,6013,392.57142857142856,429.5,1302,2021-01-12,,,,,
18,2021-08-05,cnig_ccaa,25,6499,155,273,22.142857142857142,19.5,75,2020-10-28,,,,,
14,2021-08-05,cnig_ccaa,425,130592,3160,6855,451.42857142857144,489.64285714285717,2115,2021-01-12,,,,,
01,2021-08-05,cnig_ccaa,3090,741674,23492,50631,3356.0,3616.5,8475,2021-01-20,,,,,
04,2021-08-05,cnig_ccaa,517,88750,4552,10116,650.2857142857143,722.5714285714286,1100,2021-07-20,,,,,
05,2021-08-05,cnig_ccaa,421,85242,4180,9677,597.1428571428571,691.2142857142857,956,2021-07-27,,,,,
13,2021-08-05,cnig_ccaa,2181,841272,18176,43798,2596.5714285714284,3128.4285714285716,7008,2021-01-19,,,,,
16,2021-08-05,cnig_ccaa,559,240844,5873,13608,839.0,972.0,1653,2021-07-19,,,,,
08,2021-08-05,cnig_ccaa,648,218940,5004,11193,714.8571428571429,799.5,2632,2021-01-15,,,,,
17,2021-08-05,cnig_ccaa,89,37190,882,2144,126.0,153.14285714285714,350,2021-01-21,,,,,
03,2021-08-05,cnig_ccaa,113,68313,1360,3396,194.28571428571428,242.57142857142858,801,2020-11-10,,,,,
10,2021-08-04,cnig_ccaa,1304,479792,11131,26969,1590.142857142857,1926.357142857143,8635,2021-01-15,,,,,
06,2021-08-04,cnig_ccaa,200,41121,1399,3207,199.85714285714286,229.07142857142858,342,2021-07-19,,,,,
09,2021-08-04,cnig_ccaa,2200,856221,19270,51461,2752.8571428571427,3675.785714285714,10126,2021-07-12,,,,,
02,2021-08-04,cnig_ccaa,496,150838,3568,8387,509.7142857142857,599.0714285714286,1137,2020-10-26,,,,,
12,2021-08-04,cnig_ccaa,935,167723,7091,16048,1013.0,1146.2857142857142,1863,2021-01-18,,,,,
19,2021-08-04,cnig_ccaa,22,9979,290,413,41.42857142857143,29.5,145,2021-08-02,,,,,
15,2021-08-04,cnig_ccaa,229,77972,1974,4583,282.0,327.35714285714283,742,2020-10-19,,,,,
07,2021-08-04,cnig_ccaa,659,283167,5538,13348,791.1428571428571,953.4285714285714,2956,2021-01-18,,,,,
11,2021-08-04,cnig_ccaa,377,91476,2712,6092,387.42857142857144,435.14285714285717,1302,2021-01-12,,,,,
18,2021-08-04,cnig_ccaa,34,6474,142,275,20.285714285714285,19.642857142857142,75,2020-10-28,,,,,
14,2021-08-04,cnig_ccaa,406,130167,3217,6974,459.57142857142856,498.14285714285717,2115,2021-01-12,,,,,
01,2021-08-04,cnig_ccaa,3388,738584,24847,51781,3549.5714285714284,3698.6428571428573,8475,2021-01-20,,,,,
04,2021-08-04,cnig_ccaa,661,88233,4613,10564,659.0,754.5714285714286,1100,2021-07-20,,,,,
05,2021-08-04,cnig_ccaa,568,84821,4483,10020,640.4285714285714,715.7142857142857,956,2021-07-27,,,,,
13,2021-08-04,cnig_ccaa,2378,839091,19350,45448,2764.285714285714,3246.285714285714,7008,2021-01-19,,,,,
