id,date,layer,new_cases,total_cases,active_cases_7,active_cases_14,new_cases_mean_7,new_cases_mean_14,max_new_cases,max_new_cases_date
30,2021-02-16,cnig_provincias,0,104879,554,2486,79.14285714285714,177.57142857142858,2105,2021-01-12
32,2021-02-16,cnig_provincias,0,14060,91,483,13.0,34.5,264,2021-01-18
46,2021-02-16,cnig_provincias,0,190781,1393,6889,199.0,492.07142857142856,4420,2021-01-15
27,2021-02-16,cnig_provincias,0,11124,119,548,17.0,39.142857142857146,208,2021-01-22
42,2021-02-16,cnig_provincias,0,6938,147,435,21.0,31.071428571428573,91,2021-01-25
05,2021-02-16,cnig_provincias,0,10799,61,319,8.714285714285714,22.785714285714285,175,2021-01-11
23,2021-02-16,cnig_provincias,0,39639,376,1575,53.714285714285715,112.5,595,2020-10-23
52,2021-02-16,cnig_provincias,0,6675,93,343,13.285714285714286,24.5,100,2020-10-21
08,2021-02-16,cnig_provincias,0,404625,3325,12801,475.0,914.3571428571429,4967,2020-10-20
07,2021-02-16,cnig_provincias,0,55221,363,1373,51.857142857142854,98.07142857142857,798,2021-01-04
36,2021-02-16,cnig_provincias,0,35002,494,1796,70.57142857142857,128.28571428571428,609,2021-01-18
47,2021-02-16,cnig_provincias,0,46141,323,1290,46.142857142857146,92.14285714285714,725,2021-01-18
25,2021-02-16,cnig_provincias,0,37193,308,1062,44.0,75.85714285714286,343,2020-07-18
12,2021-02-16,cnig_provincias,0,37002,376,1574,53.714285714285715,112.42857142857143,860,2021-01-20
22,2021-02-16,cnig_provincias,0,15726,109,311,15.571428571428571,22.214285714285715,248,2020-11-03
48,2021-02-16,cnig_provincias,0,74861,1067,3574,152.42857142857142,255.28571428571428,692,2020-10-27
50,2021-02-16,cnig_provincias,0,74823,719,2553,102.71428571428571,182.35714285714286,819,2020-10-26
09,2021-02-16,cnig_provincias,0,28422,267,871,38.142857142857146,62.214285714285715,359,2020-11-05
17,2021-02-16,cnig_provincias,0,55234,443,1763,63.285714285714285,125.92857142857143,784,2020-10-21
11,2021-02-16,cnig_provincias,0,66142,1509,4882,215.57142857142858,348.7142857142857,1441,2021-01-20
28,2021-02-16,cnig_provincias,0,566340,6588,23486,941.1428571428571,1677.5714285714287,6901,2021-01-19
34,2021-02-16,cnig_provincias,0,16815,200,913,28.571428571428573,65.21428571428571,287,2021-01-22
44,2021-02-16,cnig_provincias,0,12675,243,820,34.714285714285715,58.57142857142857,189,2021-01-22
21,2021-02-16,cnig_provincias,0,23872,294,1349,42.0,96.35714285714286,579,2021-01-22
26,2021-02-16,cnig_provincias,0,27224,121,586,17.285714285714285,41.857142857142854,368,2021-01-19
01,2021-02-16,cnig_provincias,0,21792,216,848,30.857142857142858,60.57142857142857,181,2020-03-18
20,2021-02-16,cnig_provincias,1,49787,444,1787,63.42857142857143,127.64285714285714,693,2020-11-01
16,2021-02-16,cnig_provincias,0,18351,80,434,11.428571428571429,31.0,340,2021-01-14
51,2021-02-16,cnig_provincias,0,4419,95,293,13.571428571428571,20.928571428571427,75,2020-10-28
18,2021-02-16,cnig_provincias,0,66203,748,2216,106.85714285714286,158.28571428571428,1252,2020-10-21
43,2021-02-16,cnig_provincias,0,49499,295,1102,42.142857142857146,78.71428571428571,834,2020-10-21
15,2021-02-16,cnig_provincias,0,48196,592,2698,84.57142857142857,192.71428571428572,952,2021-01-18
04,2021-02-16,cnig_provincias,0,42941,912,3029,130.28571428571428,216.35714285714286,901,2021-01-20
14,2021-02-16,cnig_provincias,0,42277,486,1657,69.42857142857143,118.35714285714286,718,2021-01-19
29,2021-02-16,cnig_provincias,0,80480,1621,5027,231.57142857142858,359.07142857142856,1862,2021-01-20
49,2021-02-16,cnig_provincias,0,11853,39,223,5.571428571428571,15.928571428571429,214,2020-10-27
31,2021-02-16,cnig_provincias,0,50590,284,1136,40.57142857142857,81.14285714285714,734,2020-10-19
45,2021-02-16,cnig_provincias,0,61019,361,1846,51.57142857142857,131.85714285714286,945,2021-01-20
10,2021-02-16,cnig_provincias,0,22651,95,419,13.571428571428571,29.928571428571427,369,2021-01-13
24,2021-02-16,cnig_provincias,0,33802,288,1645,41.142857142857146,117.5,572,2021-01-25
02,2021-02-16,cnig_provincias,0,25755,123,566,17.571428571428573,40.42857142857143,374,2021-01-14
19,2021-02-16,cnig_provincias,0,18858,132,740,18.857142857142858,52.857142857142854,350,2021-01-15
38,2021-02-16,cnig_provincias,0,16623,193,596,27.571428571428573,42.57142857142857,216,2020-12-15
33,2021-02-16,cnig_provincias,0,41629,488,2275,69.71428571428571,162.5,801,2020-11-10
35,2021-02-16,cnig_provincias,0,20965,478,1392,68.28571428571429,99.42857142857143,285,2021-01-18
13,2021-02-16,cnig_provincias,0,41257,170,917,24.285714285714285,65.5,781,2021-01-12
03,2021-02-16,cnig_provincias,0,137139,923,5041,131.85714285714286,360.07142857142856,3791,2021-01-15
37,2021-02-16,cnig_provincias,0,27370,281,1118,40.142857142857146,79.85714285714286,434,2021-01-25
39,2021-02-16,cnig_provincias,0,23989,251,798,35.857142857142854,57.0,264,2020-11-02
41,2021-02-16,cnig_provincias,0,95582,1620,5368,231.42857142857142,383.42857142857144,1611,2021-01-22
40,2021-02-16,cnig_provincias,0,13543,161,628,23.0,44.857142857142854,284,2021-01-15
06,2021-02-16,cnig_provincias,0,44810,296,1086,42.285714285714285,77.57142857142857,1008,2021-01-15
30,2021-02-15,cnig_provincias,10,104879,791,2955,113.0,211.07142857142858,2105,2021-01-12
32,2021-02-15,cnig_provincias,0,14060,133,579,19.0,41.357142857142854,264,2021-01-18
46,2021-02-15,cnig_provincias,19,190781,1976,8353,282.2857142857143,596.6428571428571,4420,2021-01-15
27,2021-02-15,cnig_provincias,0,11124,171,634,24.428571428571427,45.285714285714285,208,2021-01-22
42,2021-02-15,cnig_provincias,6,6938,182,503,26.0,35.92857142857143,91,2021-01-25
05,2021-02-15,cnig_provincias,4,10799,85,367,12.142857142857142,26.214285714285715,175,2021-01-11
23,2021-02-15,cnig_provincias,4,39639,491,1858,70.14285714285714,132.71428571428572,595,2020-10-23
52,2021-02-15,cnig_provincias,6,6675,119,378,17.0,27.0,100,2020-10-21
08,2021-02-15,cnig_provincias,87,404625,4658,14791,665.4285714285714,1056.5,4967,2020-10-20
07,2021-02-15,cnig_provincias,13,55221,494,1704,70.57142857142857,121.71428571428571,798,2021-01-04
36,2021-02-15,cnig_provincias,2,35002,629,2081,89.85714285714286,148.64285714285714,609,2021-01-18
47,2021-02-15,cnig_provincias,20,46141,436,1506,62.285714285714285,107.57142857142857,725,2021-01-18
25,2021-02-15,cnig_provincias,3,37193,397,1205,56.714285714285715,86.07142857142857,343,2020-07-18
12,2021-02-15,cnig_provincias,11,37002,487,1889,69.57142857142857,134.92857142857142,860,2021-01-20
22,2021-02-15,cnig_provincias,30,15726,132,357,18.857142857142858,25.5,248,2020-11-03
48,2021-02-15,cnig_provincias,107,74861,1429,4072,204.14285714285714,290.85714285714283,692,2020-10-27
50,2021-02-15,cnig_provincias,60,74823,978,2938,139.71428571428572,209.85714285714286,819,2020-10-26
09,2021-02-15,cnig_provincias,24,28422,345,978,49.285714285714285,69.85714285714286,359,2020-11-05
17,2021-02-15,cnig_provincias,12,55234,617,2041,88.14285714285714,145.78571428571428,784,2020-10-21
11,2021-02-15,cnig_provincias,5,66142,1968,5535,281.14285714285717,395.35714285714283,1441,2021-01-20
28,2021-02-15,cnig_provincias,1372,566340,8996,27628,1285.142857142857,1973.4285714285713,6901,2021-01-19
34,2021-02-15,cnig_provincias,12,16815,250,1055,35.714285714285715,75.35714285714286,287,2021-01-22
44,2021-02-15,cnig_provincias,32,12675,309,972,44.142857142857146,69.42857142857143,189,2021-01-22
21,2021-02-15,cnig_provincias,6,23872,406,1638,58.0,117.0,579,2021-01-22
26,2021-02-15,cnig_provincias,9,27224,162,754,23.142857142857142,53.857142857142854,368,2021-01-19
01,2021-02-15,cnig_provincias,20,21792,296,970,42.285714285714285,69.28571428571429,181,2020-03-18
20,2021-02-15,cnig_provincias,23,49786,631,2041,90.14285714285714,145.78571428571428,693,2020-11-01
16,2021-02-15,cnig_provincias,1,18351,109,555,15.571428571428571,39.642857142857146,340,2021-01-14
51,2021-02-15,cnig_provincias,10,4419,124,327,17.714285714285715,23.357142857142858,75,2020-10-28
18,2021-02-15,cnig_provincias,2,66203,910,2592,130.0,185.14285714285714,1252,2020-10-21
43,2021-02-15,cnig_provincias,7,49499,387,1291,55.285714285714285,92.21428571428571,834,2020-10-21
15,2021-02-15,cnig_provincias,3,48196,824,3132,117.71428571428571,223.71428571428572,952,2021-01-18
04,2021-02-15,cnig_provincias,31,42941,1162,3440,166.0,245.71428571428572,901,2021-01-20
14,2021-02-15,cnig_provincias,7,42277,599,1898,85.57142857142857,135.57142857142858,718,2021-01-19
29,2021-02-15,cnig_provincias,29,80480,1944,5792,277.7142857142857,413.7142857142857,1862,2021-01-20
49,2021-02-15,cnig_provincias,0,11853,57,269,8.142857142857142,19.214285714285715,214,2020-10-27
31,2021-02-15,cnig_provincias,18,50590,366,1291,52.285714285714285,92.21428571428571,734,2020-10-19
45,2021-02-15,cnig_provincias,10,61019,510,2236,72.85714285714286,159.71428571428572,945,2021-01-20
10,2021-02-15,cnig_provincias,6,22651,129,521,18.428571428571427,37.214285714285715,369,2021-01-13
24,2021-02-15,cnig_provincias,20,33802,411,1894,58.714285714285715,135.28571428571428,572,2021-01-25
02,2021-02-15,cnig_provincias,4,25755,173,687,24.714285714285715,49.07142857142857,374,2021-01-14
19,2021-02-15,cnig_provincias,1,18858,201,930,28.714285714285715,66.42857142857143,350,2021-01-15
38,2021-02-15,cnig_provincias,9,16623,251,658,35.857142857142854,47.0,216,2020-12-15
33,2021-02-15,cnig_provincias,1,41629,704,2691,100.57142857142857,192.21428571428572,801,2020-11-10
35,2021-02-15,cnig_provincias,21,20965,591,1551,84.42857142857143,110.78571428571429,285,2021-01-18
13,2021-02-15,cnig_provincias,3,41257,225,1089,32.142857142857146,77.78571428571429,781,2021-01-12
03,2021-02-15,cnig_provincias,13,137139,1286,6099,183.71428571428572,435.64285714285717,3791,2021-01-15
37,2021-02-15,cnig_provincias,3,27370,389,1314,55.57142857142857,93.85714285714286,434,2021-01-25
39,2021-02-15,cnig_provincias,1,23989,327,907,46.714285714285715,64.78571428571429,264,2020-11-02
41,2021-02-15,cnig_provincias,10,95582,2117,6251,302.42857142857144,446.5,1611,2021-01-22
40,2021-02-15,cnig_provincias,14,13543,216,713,30.857142857142858,50.92857142857143,284,2021-01-15
06,2021-02-15,cnig_provincias,4,44810,347,1250,49.57142857142857,89.28571428571429,1008,2021-01-15
30,2021-02-14,cnig_provincias,23,104869,993,3421,141.85714285714286,244.35714285714286,2105,2021-01-12
32,2021-02-14,cnig_provincias,1,14060,178,684,25.428571428571427,48.857142857142854,264,2021-01-18
46,2021-02-14,cnig_provincias,37,190762,2593,9869,370.42857142857144,704.9285714285714,4420,2021-01-15
27,2021-02-14,cnig_provincias,1,11124,235,699,33.57142857142857,49.92857142857143,208,2021-01-22
42,2021-02-14,cnig_provincias,10,6932,208,574,29.714285714285715,41.0,91,2021-01-25
05,2021-02-14,cnig_provincias,1,10795,113,422,16.142857142857142,30.142857142857142,175,2021-01-11
23,2021-02-14,cnig_provincias,23,39635,677,2162,96.71428571428571,154.42857142857142,595,2020-10-23
52,2021-02-14,cnig_provincias,4,6669,146,422,20.857142857142858,30.142857142857142,100,2020-10-21
08,2021-02-14,cnig_provincias,122,404538,6085,16906,869.2857142857143,1207.5714285714287,4967,2020-10-20
07,2021-02-14,cnig_provincias,50,55208,618,2038,88.28571428571429,145.57142857142858,798,2021-01-04
36,2021-02-14,cnig_provincias,32,35000,805,2409,115.0,172.07142857142858,609,2021-01-18
47,2021-02-14,cnig_provincias,17,46121,536,1771,76.57142857142857,126.5,725,2021-01-18
25,2021-02-14,cnig_provincias,21,37190,503,1359,71.85714285714286,97.07142857142857,343,2020-07-18
12,2021-02-14,cnig_provincias,28,36991,611,2208,87.28571428571429,157.71428571428572,860,2021-01-20
22,2021-02-14,cnig_provincias,6,15696,137,381,19.571428571428573,27.214285714285715,248,2020-11-03
48,2021-02-14,cnig_provincias,78,74754,1681,4427,240.14285714285714,316.2142857142857,692,2020-10-27
50,2021-02-14,cnig_provincias,37,74763,1123,3258,160.42857142857142,232.71428571428572,819,2020-10-26
09,2021-02-14,cnig_provincias,16,28398,415,1071,59.285714285714285,76.5,359,2020-11-05
17,2021-02-14,cnig_provincias,19,55222,849,2308,121.28571428571429,164.85714285714286,784,2020-10-21
11,2021-02-14,cnig_provincias,108,66137,2206,6211,315.14285714285717,443.64285714285717,1441,2021-01-20
28,2021-02-14,cnig_provincias,191,564968,10001,29899,1428.7142857142858,2135.6428571428573,6901,2021-01-19
34,2021-02-14,cnig_provincias,15,16803,319,1248,45.57142857142857,89.14285714285714,287,2021-01-22
44,2021-02-14,cnig_provincias,16,12643,349,1051,49.857142857142854,75.07142857142857,189,2021-01-22
21,2021-02-14,cnig_provincias,14,23866,489,1815,69.85714285714286,129.64285714285714,579,2021-01-22
26,2021-02-14,cnig_provincias,10,27215,188,862,26.857142857142858,61.57142857142857,368,2021-01-19
01,2021-02-14,cnig_provincias,17,21772,371,1071,53.0,76.5,181,2020-03-18
20,2021-02-14,cnig_provincias,25,49763,753,2290,107.57142857142857,163.57142857142858,693,2020-11-01
16,2021-02-14,cnig_provincias,1,18350,153,648,21.857142857142858,46.285714285714285,340,2021-01-14
51,2021-02-14,cnig_provincias,7,4409,135,355,19.285714285714285,25.357142857142858,75,2020-10-28
